"%s is required","%s обязательно для заполнения"
"%s: Edit Logic","%s: редактирование логики"
"%s: New Logic","%s: новая логика"
"(new copy)","(новая копия)"
"Language","Язык"
"Last Modified","Последнее редактирование"
"Last Result","Последний результат"
"Legacy (Magento 1.3 and earlier)","Устаревший (Magento 1.3 и более ранние)"
"License","Лицензия"
"License is active.","Лицензия неактивна."
"License serial number for WebForms Professional Edition is missing.","Отсутствует лицензионный ключ для WebForms Professional Edition."
"Load","Загружать"
"Load jQuery","Загружать jQuery"
"Load jQuery library required by Ajax uploader. Disable if your theme is already using jQuery.","Загружать jQuery необходимую для Ajax загрузчика файлов. Отключите если у вас на сайте уже используется jQuery."
"Logic","Логика"
"Logic Rule","Логической правило"
"Logic aggregation","Логическая связка"
"Logic was successfully deleted","Логика была успешно удалена"
"Logic was successfully saved","Логика была успешно сохранена"
"Login redirect URL","Перенаправлять для логина на URL"
"Manage Forms","Управление формами"
"Manage Quick Responses","Управление быстрыми ответами"
"Maximum length","Максимальная длина"
"Maximum upload file size in kB","Максимально допустимый размер загружаемого файла в кБ"
"Maximum upload image size in kB","Максимально допустимый размер загружаемого файла в кБ"
"Message","Сообщение"
"Messages History","История сообщений"
"Minimum length","Минимальная длина"
"Mode","Режим"
"NOT equal","НЕ равно"
"Name","Название"
"New Field Set","Новый набор полей"
"New Quick Response","Новый быстрый ответ"
"Newer","Новее"
"Newsletter Subscription / Checkbox","Подписка на новости / Флажок"
"Not E-mailed","Не уведомлен"
"Notification e-mail address","Адрес электронной почты для уведомлений"
"Off","Выкл."
"Older","Старее"
"On","Вкл."
"Please select quick response from the list","Выбирете быстрый ответ из списка"
"Please, don`t reply to this e-mail!","Пожалуйста, не отвечайте на это письмо!"
"Please, enter serial number.","Пожалуйста, введите лицензионный ключ."
"Portuguese","Portuguese"
"Position","Позиция"
"Preview template","Шаблон предпросмотра"
"Private key","Private key"
"Public key","Public key"
"Quick response","Быстрый ответ"
"Quick response was successfully deleted","Быстрый ответ был успешно удален"
"Quick response was successfully saved","Быстрый ответ был успешно сохранен"
"Red","Red"
"Redirect URL","Перенаправлять на URL"
"Redirect to specified url after successful submission","Перенаправлять на указанный адрес после успешной отправки"
"Registered customers only","Только для зарегистрированных клиентов"
"Replace default Magento contacts page (yourdomain.com/contacts) with the preferred web-form","Заменить стандартную форму обратной связи (yourdomain.com/contacts) на выбранную форму"
"Reply","Ответить"
"Reply template","Шаблон ответа"
"Reply to selected results?","Ответить на выбранные результаты?"
"Reply-to e-mail address for customer","Электронный адрес для ответа в уведомлении клиента"
"Reply-to address for customer","Электронный адрес для ответа в уведомлении клиента"
"Required","Обязательно"
"Result # %s","Результат # %s"
"Result # %s | %s","Результат # %s | %s"
"Result Date","Дата результата"
"Result label","Ярлык поля в результате"
"Result label will be used on results page","Ярлык результата будет использован вместо названия поля на странице с результатами"
"Result was successfully deleted","Результат был успешно удален"
"Result was successfully saved","Результат был успешно сохранен"
"Results","Результаты"
"Results / Notifications","Результаты / Уведомления"
"Results per page","Количество результатов на странице"
"Russian","Russian"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save Reply","Сохранить ответ"
"Save Reply And E-mail","Сохранить и отправить ответ"
"Scroll to success message","Прокрутить страницу до сообщения об успешной отправке данных"
"Scroll to the top of success message after form submission","Прокрутить страницу до верха к сообщению об успешной отправке данных"
"Select","Список"
"Select / Checkbox","Список / Флажки"
"Select / Contact","Список / Контакты"
"Select / Country","Список / Страны"
"Select / Radio","Список / Переключатели"
"Select default template for the form preview","Выберите шаблон по умолчанию для предварительного просмотра формы"
"Select one or multiple target elements","Выберите один или несколько целевых элементов"
"Select one or multiple trigger values.<br>Please, configure for each locale <b>Store View</b>.","Выберите одно или несколько значений триггера.<br>Пожалуйста, установите для каждого <b>представления магазина</b>."
"Select values should be separated with new line (start with ^ to check default).<br>Default values: <i>{{firstname}}, {{lastname}}, {{email}} etc</i> - logged in customer information<br>Select/Contact values format:<br><i>Name &lt;mailbox@mysite.com&gt;</i>","Значения в списке должны быть разделены символом каретки (добавьте вначале ^ для значения по умолчанию).<br>Возможно использовать коды для значений по умолчанию: <i>{{firstname}}, {{lastname}}, {{email}} и т.д.</i> - данные авторизованного пользователя<br>Значения поля Список/Контакты должны иметь следющий формат:<br><i>Имя почтового ящика &lt;mailbox@mysite.com&gt;</i>"
"Select web-form to replace default contacts page","Выберите веб-форму для замены стандартной формы обратной связи"
"Selected Result(s)","Выбранные результаты"
"Selected result has no reply-to address!","Выбранный результат не имеет обратного адреса для ответа!"
"Send E-mail","Отправить письмо"
"Send all e-mails from this address","Отправлять все письма с указанного адреса"
"Send by e-mail","Отправлять по почте"
"Send results by e-mail to admin","Отправлять результаты администратору по элеткронной почте"
"Send selected results by e-mail?","Отправить выбранные результаты по почте?"
"Sending...","Отправляю..."
"Sent from IP","Отправлено с IP"
"Serial #","Лицензионный ключ"
"Set reply-to parameter in customer notifications","Установить обратный адрес в уведомлениях для клиента"
"Set text for the submit button of the form. If empty the default value &quot;Submit&quot; will be used","Установите текст для кнопки отправки данных. При пустом значении будет использован текст &quot;Отправить&quot;"
"Settings","Настройки"
"Show","Показать"
"Show web-form in admin backend menu","Показывать веб-форму в меню административной части сайта"
"Size","Размер"
"Spanish","Spanish"
"Spam bot detected. Honeypot field should be empty.","Обнаружен спам бот. Honeypot поле должно быть пустым."
"Standard","Стандартный"
"Standard - two neighbour fields will be merged in one row<br>Wide - field will be wide and single in a row","Стандартный - два соседних поля объединены в один ряд<br>Широкий - одно поле занимает весь ряд"
"Star Rating","Звездный рейтинг"
"Submit button text","Текст кнопки отправки"
"Success text","Сообщение об успешной отправке"
"Survey mode","Режим опроса"
"Survey mode allows filling up the form only one time","Режим опроса запрещает повторную отправку данных по этой форме"
"Target element(s)","Целевые элементы"
"Text","Текст"
"Text / E-mail","Текст / Почта"
"Text / Number","Текст / Число"
"Text / URL","Текст / URL"
"Textarea","Текстовое поле"
"Theme","Тема"
"This address will be used by default to send you new results notifications. You can set multiple addresses comma-separated","Этот адрес будет использован по умолчанию для отправки уведомлениях о новых результатах. Вы можете установить несколько адресов разделяя их запятой"
"This address will be used in reply-to field in customer notification","Этот адрес будет использован в поле ответа в уведомлениях клиентов"
"This field will be used as a subject in notification e-mail","Это поле будет использовано в качестве темы в уведомлениях"
"This text will appear under the form name","Этот текст будет отображаться под именем формы"
"This text will appear under the input field","Этот тект будет отображаться под полем ввода"
"This text will be displayed after the form completion","Этот текст появится после отправки данных"
"This will limit long field names in results table. It doesn't affect export","Это ограничит длинные имена полей в таблице результатов. Не влияет на экспорт данных"
"Thumbnail height in e-mail notifications","Высота миниатюры в почтовых уведомлениях"
"Thumbnail height in results grid","Высота миниаютры в таблицы результатов"
"Thumbnail width in e-mail notifications","Ширина миниатюры в почтовых уведомлениях"
"Thumbnail width in results grid","Ширина миниатюры в таблице результатов"
"Title","Заголовок"
"Total of %d record(s) have been deleted.","%d записей было удалено."
"Total of %d record(s) have been duplicated.","%d записей было дублировано."
"Total of %d record(s) have been updated.","%d записей было обновлено."
"Total of %d reply(s) has been emailed.","%d отевтов было отправлено."
"Total of %d reply(s) has been saved.","%d ответов было сохранено."
"Total of %d result(s) has no reply-to e-mail address.","%d результатов не имеет обратного адреса."
"Total of %d result(s) have been emailed.","%d результатов было отправлено по почте."
"Total of %d result(s) have been updated.","%d было обновлено."
"Trigger value(s)","Значение(я) триггера"
"Turkish","Turkish"
"Type","Тип"
"Ultimento (theme matching template)","Ultimento (шаблон для темы)"
"Unexpected error","Неизвестная ошибка"
"Unsupported image compression: %s","Неподдерживаемой сжатие изображения: %s"
"Upload limit","Лимит загрузки файлов"
"Uploaded file %s (%s kB) exceeds allowed limit: %s kB","Размер загружаемого файла %s (%s kB) превышает установленное ограничение: %s kB"
"Uploaded file %s has non-latin characters in the name","Загружаемый файл %s имеет нелатинские символы в названии"
"Uploaded file %s has none of allowed extensions: %s","Загружаемый файл %s не имеет разрешенного расширения: %s"
"Uploaded image %s (%s kB) exceeds allowed limit: %s kB","Размер загружаемого изображения %s (%s kB) превышает установленное ограничение: %s kB"
"Use Magento translations","Использовать перевод Magento"
"Use Magento translations to automatically translate forms in frontend","Использовать файлы превода Magento, чтобы автоматически переводить формы в публичной части"
"Use as e-mail subject","Использовать в качестве темы сообщения"
"Validate file names","Проверять имена файлов"
"Validate with custom regular expression","Проверять с помощью регулярного выражения"
"Validation","Проверка"
"Validation RegEx","Регулярное выражение"
"Validation error message","Сообщение об ошибке"
"Value only","Только значение"
"Verification code was not correct. Please try again.","Код с картинки введен неверно. Попробуйте ещё раз"
"Web-form","Веб-форма"
"Web-form '%s' submitted","Веб-форма '%s' отправлена"
"Web-form does not exist","Веб-форма не существует"
"Web-form is not active.","Веб-форма неактивна."
"Web-form is not available for direct access.","Веб-форма недоступна для прямого доступа."
"Web-form was successfully deleted","Веб-форма успешно удалена"
"Web-form was successfully duplicated","Веб-форма успешно дублирована"
"Web-form was successfully saved","Веб-форма успешно сохранена"
"Web-forms","Веб-формы"
"Web-forms Module","Веб-формы"
"Web-forms Settings","Настройки Веб-форм"
"Web-forms Settings Configuration","Конфигурация Веб-форм"
"Web-forms: Form","Веб-формы: Форма"
"Web-forms: Results","Веб-формы: Результаты"
"WebForms Professional Edition license number is not valid for store domain.","Лицензионный номер модуля Веб-формы не соответствует доменному имени."
"White","White"
"Wide","Широкий"
"You can use it for additional field validation (see Prototype validation classes)","Вы можете использовать для дополнительной проверки поля с помощью классов проверки Prototype"
"You have submitted '%s' form on %s website","Вы заполнили форму '%s' на сайте %s"
"reCaptcha Settings","Настройки reCaptcha"
