"%s is required","%s es necesario"
"Select web-form to replace default contacts page","Seleccione el formulario web para reemplazar página de contactos predeterminada"
"Selected Result(s)","Resultado(s) seleccionado(s)"
"Selected result has no reply-to address!","El resultado seleccionado no tiene dirección de respuesta!"
"Send E-mail","Enviar correo electrónico"
"Send all e-mails from this address","Enviar todos los emails de esta dirección"
"Send by e-mail","Enviar por correo electrónico"
"Send results by e-mail to admin","Enviar los resultados por email al administrador"
"Send selected results by e-mail?","¿Enviar los resultados seleccionados por email?"
"Sending...","Enviando..."
"Sent from IP","Enviado desde la IP"
"Set text for the submit button of the form. If empty the default value &quot;Submit&quot; will be used","Establezca el texto para el botón de envío del formulario. Si está vacío, será usado el valor &quot;Submit&quot; como predeterminado"
"Settings","Configuración"
"Show","Mostrar"
"Show web-form in admin backend menu","Mostrar formulario web en el menú de administrador de contenidos:"
"Size","Tamaño"
"Spanish","Español"
"Standard","Standard"
"Standard - two neighbour fields will be merged in one row<br>Wide - field will be wide and single in a row","Standard - dos campos por fila<br>Ancho - el campo se mostrará en todo el ancho"
"Star Rating","Clasificación de estrellas"
"Status","Estado"
"Store","Tienda"
"Store View","Vista de tienda"
"Store group","Grupo de tiendas"
"Store name","Nombre de tienda"
"Submit button text","Texto del botón de envío"
"Success text","Texto de confirmación"
"Survey mode","Modo encuesta"
"Survey mode allows filling up the form only one time","El modo encuesta permite cumplimentar el formulario de una sola vez"
"Target element(s)","Elemento(s) destino"
"Text","Texto"
"Text / E-mail","Texto / Email"
"Text / Number","Texto / Número"
"Text / URL","Texto / URL"
"Textarea","Area de texto"
"Theme","Tema"
"This address will be used by default to send you new results notifications. You can set multiple addresses comma-separated","Esta dirección se utilizará para enviarle notificaciones de nuevos resultados. Puede configurar varias direcciones separadas por comas"
"This address will be used in reply-to field in customer notification","Esta dirección se utilizará para el campo respuesta en la notificación al cliente"
"This field will be used as a subject in notification e-mail","Este campo se utilizará como asunto en la notificación por correo electrónico"
"This text will appear under the form name","Este texto aparecerá bajo el nombre del formulario"
"This text will appear under the input field","Este texto aparecerá bajo el campo de entrada"
"This text will be displayed after the form completion","Este texto se mostrará después de completar el formulario"
"This will limit long field names in results table. It doesn't affect export","Esto limitará la longitud de los nombres de campo en la tabla de resultados. Esto no afecta a la exportación"
"Thumbnail height in e-mail notifications","Alto de la miniatura para las notificaciones por email"
"Thumbnail height in results grid","Alto de la miniatura en la parrilla de resultados"
"Thumbnail width in e-mail notifications","Ancho de la miniatura para las notificaciones por email"
"Thumbnail width in results grid","Ancho de la miniatura en la parrilla de resultados"
"Title","Título"
"Total of %d record(s) have been deleted.","Un total de %d registro(s) se han borrado."
"Total of %d record(s) have been duplicated.","Un total de %d registro(s) se han duplicado."
"Total of %d record(s) have been updated.","Un total de %d registros(s) se han actualizado."
"Total of %d reply(s) has been emailed.","Un total de %d respuestas(s) se han enviado."
"Total of %d reply(s) has been saved.","Un total de %d respuestas(s) se han guardado."
"Total of %d result(s) has no reply-to e-mail address.","Un total de %d resultado(s) no tienen dirección de respuesta."
"Total of %d result(s) have been emailed.","Total of %d resultado(s) se han enviado."
"Total of %d result(s) have been updated.","Total of %d resultado(s) se han actualizado."
"Trigger value(s)","Valore(s) de activación"
"Turkish","Turco"
"Type","Tipo"
"Ultimento (theme matching template)","Ultimento (tema de plantilla coincidente)"
"Unexpected error","Error inesperado"
"Unsupported image compression: %s","Compresión de la imagen no compatible: %s"
"Upload limit","Limite de subida"
"Uploaded file %s (%s kB) exceeds allowed limit: %s kB","El archivo cargado %s (%s kB) ha excedido el limite permitido: %s kB"
"Uploaded file %s has non-latin characters in the name","El archivo cargado %s tiene caracteres no latinos en el nombre"
"Uploaded file %s has none of allowed extensions: %s","El archivo cargado %s no tiene ninguna de las extensiones permitidas: %s"
"Uploaded image %s (%s kB) exceeds allowed limit: %s kB","La imagen cargada %s (%s kB) ha excedido el limite permitido: %s kB"
"Use Magento translations","Utilice traducciones Magento"
"Use Magento translations to automatically translate forms in frontend","Utilice las traducciones de Magento para traducir automáticamente los formularios en el interfaz"
"Use as e-mail subject","Utilice como asunto del correo electrónico"
"Validate file names","Validar los nombres de archivo"
"Validate with custom regular expression","Validar con una expresión regular personalizada"
"Validation","Validación"
"Validation RegEx","Validación RegEx"
"Validation error message","Mensaje de error de validación"
"Value only","Valor único"
"Verification code was not correct. Please try again.","Código de verificación no correcto. Por favor, vuelva a intentarlo."
"Web-form","Web-form"
"Web-form '%s' submitted","Formulario web '%s' enviado"
"Web-form does not exist","El formulario web no existe"
"Web-form is not active.","El formulario web no esta activo."
"Web-form is not available for direct access.","El formulario web no está disponible para el acceso directo."
"Web-form was successfully deleted","El formulario web se ha eliminado correctamente"
"Web-form was successfully duplicated","El formulario web se ha duplicado correctamente"
"Web-form was successfully saved","El formulario web se ha guardado correctamente"
"Web-forms","Web-forms"
"Web-forms Module","Modulo Web-forms"
"Web-forms Settings","Configuración de Web-forms"
"Web-forms Settings Configuration","Opciones de configuración de Web-forms"
"Web-forms: Form","Web-forms: Formulario"
"Web-forms: Results","Web-forms: Resultados"
"WebForms Professional Edition license number is not valid for store domain.","El número de licencia de WebForms Edición Profesional no es válido para este dominio/tienda."
"White","Blanco"
"Wide","Ancho"
"You can use it for additional field validation (see Prototype validation classes)","Se puede utilizar para campo de validación adicional (ver las clases de validación Prototipo)"
"You have submitted '%s' form on %s website","Ha enviado el formulario '%s' desde %s"
"reCaptcha Settings","Configuración de reCaptcha"
