"%s is required","%s on pakollinen"
"%s: Edit Logic","%s: Muokkaa logiikkaa"
"%s: New Logic","%s: Uusi logiikka"
"(new copy)","(uusi kopio)"
"Please select quick response from the list","Valitse pikavastaus listasta"
"Please, don`t reply to this e-mail!","Älä vastaa tähän sähköpostiviestiin!"
"Please, enter serial number.","Syötä sarjanumero."
"Portuguese","Portugali"
"Position","Sijainti"
"Preview template","Esikatsele pohjaa"
"Private key","Salainen avain"
"Public key","Julkinen avain"
"Quick Response","Pikavastaus"
"Quick response","Pikavastaus"
"Quick response was successfully deleted","Pikavastaus on poistettu onnistuneesti"
"Quick response was successfully saved","Pikavastaus on tallennettu onnistuneesti"
"Red","Punainen"
"Redirect URL","Uudelleenohjauksen URL-osoite"
"Redirect to specified url after successful submission","Uudelleenohjaa valittuun osoitteeseen onnistuneen lähetyksen jälkeen"
"Registered customers only","Vain rekisteröityneille asiakkaille"
"Replace default Magento contacts page (yourdomain.com/contacts) with the preferred web-form","Korvaa Magento oletus yhteydenottosivu (sinunosoite.fi/contacts) haluamallasi lomakkeella"
"Reply","Vastaus"
"Reply template","Vastauksen pohja"
"Reply to selected results?","Vastaa valittujen tulosten lähettäjille?"
"Reply-to e-mail address for customer","Vastaussähköpostiosoite asiakkaalle"
"Required","Vaadittu"
"Result # %s","Tulos # %s"
"Result # %s | %s","Tulos # %s | %s"
"Result Date","Tuloksen PVM"
"Result label","Tuloksen otsikko"
"Result label will be used on results page","Tuloksen otsikkoa käytetään tulosten esitys-sivulla"
"Result was successfully deleted","Tulos on poistettu onnistuneesti"
"Result was successfully saved","Tulos on tallennettu onnistuneesti"
"Results","Tulokset"
"Results / Notifications","Tulokset / Ilmoitukset"
"Results per page","Tulosta sivulla"
"Russian","Venäjä"
"Save Reply","Tallenna vastaus"
"Save Reply And E-mail","Tallenna vastaus ja lähetä sähköpostitse"
"Scroll to success message","Siirry onnistumisviestiin"
"Scroll to the top of success message after form submission","Siirry onnistumisviestin alkuun lomakkeen lähettämisen jälkeen"
"Select","Valinta"
"Select / Checkbox","Valinta / valintaruutu"
"Select / Contact","Valinta / yhteystieto"
"Select / Radio","Valinta / valintanappi"
"Select default template for the form preview","Valitse oletuspohja lomakkeen esikatselua varten"
"Select one or multiple target elements","Valitse yksi tai useampia kohde-elementtejä"
"Select one or multiple trigger values.<br>Please, configure for each locale <b>Store View</b>.","Valitse yksi tai useampi kynnysarvo.<br>Määritettävä erikseen jokaiselle kauppanäkymälle<b>Store View</b>."
"Select values should be separated with new line (start with ^ to check default).<br>Default values: <i>{{firstname}}, {{lastname}}, {{email}} etc</i> - logged in customer information<br>Select/Contact values format:<br><i>Name <mailbox@mysite.com></i>","Valinnan arvot erotettavaa rivinvaihdolla (\"^\"-merkillä rivin alussa valitaan oletusarvo).<br>Oletusarvot: <i>{{firstname}}, {{lastname}}, {{email}} jne</i> - kirjautuneen asiakkaan tiedot<br>Valinta/yhteystieto kentän arvoto muotoa:<br><i>Name <mailbox@mysite.com></i>"
"Select web-form to replace default contacts page","Valitse lomake oletusyhteystietosivun tilalle"
"Selected Result(s)","Valitut tulokset"
"Selected result has no reply-to address!","Valitulle tulokselle ei ole vastaussähköpostiosoitetta!"
"Send E-mail","Lähetä sähköposti"
"Send all e-mails from this address","Lähetä kaikki sähköpostit tästä osoitteesta"
"Send by e-mail","Lähetä sähköpostitse"
"Send results by e-mail to admin","Lähetä tulokset sähköpostitse ylläpidolle"
"Send selected results by e-mail?","Lähetä valitut tulokset sähköpostitse?"
"Sending...","Lähetetään..."
"Sent from IP","Lähetetty IP-osoitteesta"
"Set text for the submit button of the form. If empty the default value &quot;Submit&quot; will be used","Syötä lomakkeen \"Lähetä\"-painikkeen teksti. Jos jätetty tyhjäksi, käytetään oletusarvoa \"Lähetä\""
"Settings","Asetukset"
"Show","Näytä"
"Show web-form in admin backend menu","Näytä lomake ylläpitönäkymän valikossa"
"Size","Koko"
"Spanish","Espanja"
"Standard","Vakio"
"Standard - two neighbour fields will be merged in one row<br>Wide - field will be wide and single in a row","Vakio - kaksi peräkkäistä kenttää samalla rivillä<br>Leveä - kenttä on leveämpi ja on omalla rivillä"
"Star Rating","Tähtiluokitus"
"Status","Status"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Store group","Asiakasryhmä"
"Store name","Kaupan nimi"
"Submit button text","\"Lähetä\"-painikkeen teksti"
"Success text","Onnistumisviesti"
"Survey mode","Kyselytila"
"Survey mode allows filling up the form only one time","Kyselytilassa lomaketta voi täyttää vain kerran"
"Target element(s)","Kohde-elementti(it)"
"Text","Teksti"
"Text / E-mail","Teksti / Sähköpostiosoite"
"Text / Number","Teksti / Numero"
"Text / URL","Teksti / URL-osoite"
"Textarea","Teskstialue"
"Theme","Teema"
"This address will be used by default to send you new results notifications. You can set multiple addresses comma-separated","Tätä osoitetta käytetään oletussähköpostiosoitteena ilmoituksille uusista tuloksista. Useita osoitteita voi käyttää pilkulla erotettuna"
"This address will be used in reply-to field in customer notification","Tätä osoitetta käytetään vastaus-sähköpostiosoite kentässä ilmoituksissa asiakkaille"
"This field will be used as a subject in notification e-mail","Tämän kentän sisältöä käytetään otsikkona sähköpoisti-ilmoituksessa"
"This text will appear under the form name","Tämä teksti näytetään lomakkeen nimen alapuolella"
"This text will appear under the input field","Tämä teksti näytetään kentän alapuolella"
"This text will be displayed after the form completion","Tämä teksti näytetään lomakkeen lähettämisen jälkeen"
"This will limit long field names in results table. It doesn't affect export","Asettaa rajoituksen kenttien pitkille nimille tulostaulkossa. Ei vaikuta tietojen vientiin"
"Thumbnail height in e-mail notifications","Pienoiskuvan korkeus sähköposti-ilmoituksissa"
"Thumbnail height in results grid","Pienoiskuvan korkeus tuolsruudukossa"
"Thumbnail width in e-mail notifications","Thumbnail width in e-mail notifications"
"Thumbnail width in results grid","Pienoiskuvan leveys sähköposti-ilmoituksissa"
"Title","Otsikko"
"Total of %d record(s) have been deleted.","%d tieto(a) on poistettu."
"Total of %d record(s) have been duplicated.","%d tieto(a) on kopioitu."
"Total of %d record(s) have been updated.","%d tieto(a) on päivitetty."
"Total of %d reply(s) has been emailed.","%d vastaus(ta) on lähetetty sähköpostitse."
"Total of %d reply(s) has been saved.","%d vastaus(ta) on tallennettu."
"Total of %d result(s) has no reply-to e-mail address.","%d tuloksella ei ole vastaussähköpostiosoitetta."
"Total of %d result(s) have been emailed.","%d tulos(ta) on lähetetty sähköpostitse."
"Total of %d result(s) have been updated.","%d tulos(ta) on päivitetty."
"Trigger value(s)","Kynnysarvo(t)"
"Turkish","Turkish"
"Type","Type"
"Ultimento (theme matching template)","Ultimento (teemaa vastaava malli)"
"Unexpected error","Odottamaton virhe"
"Unsupported image compression: %s","Ei tuettu kuvan pakkaustekniikka: %s"
"Upload limit","Latauksen rajoitus"
"Uploaded file %s (%s kB) exceeds allowed limit: %s kB","Ladattu tiedosto %s (%s kB) ylittää sallitun rajan: %s kB"
"Uploaded file %s has non-latin characters in the name","Ladatun tiedoston %s nimi sisältää muita(kin) kuin latinalaisia merkkejä"
"Uploaded file %s has none of allowed extensions: %s","Ladatun tiedoston %s pääte ei ole yksikään sallituista päätteisä: %s"
"Uploaded image %s (%s kB) exceeds allowed limit: %s kB","Ladattu kuva %s (%s kB) ylittää sallitun rajan: %s kB"
"Use Magento translations","Käytä Magenton kielikäännöksiä"
"Use Magento translations to automatically translate forms in frontend","Käytä Magenton kielikäännöksiä lomakkeiden kääntämiseen asiakasnäkymässä"
"Use as e-mail subject","Käytä sähköpostin otsikkona"
"Validate file names","Vahvista tiedostojen nimet"
"Validate with custom regular expression","Vahvista mukautetulla säännöllisellä lausekkeella"
"Validation","Vahvistaminen"
"Validation RegEx","Vahvistamisnen säännöllinen lauseke"
"Validation error message","Vahvistamisen virheviesti"
"Value only","Vain arvo"
"Verification code was not correct. Please try again.","Vahvistuskoodi on virheellinen. Yritä uudelleen."
"Web-form","Lomake"
"Web-form '%s' submitted","Lomake '%s' on lähetetty"
"Web-form does not exist","Lomaketta ei ole olemassa"
"Web-form is not active.","Lomake ei ole aktiivinen."
"Web-form is not available for direct access.","Lomake ei ole saatavilla suoralla linkillä."
"Web-form was successfully deleted","Lomake on poistettu onnistuneesti"
"Web-form was successfully duplicated","Lomake on kopioitu onnistuneesti"
"Web-form was successfully saved","Lomake on tallennettu onnistuneesti"
"Web-forms","Web-forms"
"Web-forms Module","Web-forms lisäosa"
"Web-forms Settings","Web-forms asetukset"
"Web-forms Settings Configuration","Web-forms asetusten määritys"
"Web-forms: Form","Web-forms: lomake"
"Web-forms: Results","Web-forms: tulokset"
"WebForms Professional Edition license number is not valid for store domain.","WebForms Professional Editionin lisenssin sarjanumero ei ole voimassa kaupan domain-osoitteelle."
"White","Valkoinen"
"Wide","Leveä"
"You can use it for additional field validation (see Prototype validation classes)","Voit käyttää tätä kenttien lisävahvistamiseen (katso Prototype validation classes)"
"You have submitted '%s' form on %s website","Olet lähettänyt '%s' lomakkeen %s internet-sivustolla"
"reCaptcha Settings","reCaptcha asetukset"
